name,total_volume_sold,total_volume_unsold
LRGE C/SLAW HT,23,10
BL159 SF MED ST,47,26
2 GC & CR NAAN,956,747
LAMB CASSRLE X1,899,743
TOM MOZZ PAS SL,12,4
F/R EGGS V/LG,12,8
RST POTS/DRIPNG,253,218
2 B&B PUDDINGS,262,184
2 APPLE CRUMBLE,625,490
COTTAGE PIE ML,1364,1131
SPARK ROSE,13,11
SML COTTAGE PIE,693,544
SHEPHRDS PIE X1,1113,924
LACTOSE FREE,27,21
FISH PIE MINI,1233,1039
PEAS & CARROTS,1797,1427
COD F/CAKE,954,801
SB LG CHS & TOM,581,480
DI FOCACCIA,363,300
MAT CHD SLICES,14,13
CHKN CHEESE/HAM,1980,1644
4 GARLIC BREADS,1308,1084
PICC VN 250G H/,58,46
SALM F/CAKE,1042,860
BANGERS & MASH,581,504
RAINBOW CARROTS,307,251
LG STRAWBERRY,476,380
EGG NOODLES,1722,1424
SPROUTS,468,363
DI CHICKEN LEEK,556,433
DAFFODILS,34,32
DI CHOCLTE TRT,17,15
LLANDYRNOG CHED,17,14
LGE CUMBLND PIE,988,851
MANDAGOLD,157,123
SML CUMBLND PIE,981,854
DI C LAYER VEG,165,54
PINA COLADA,37,30
LUX STRAWBERRY,93,76
B/W CHIPOLATAS,38,10
CHEESE MUFFINS,342,248
SMK HAD F/C,839,723
LAMB DINNER X1,890,717
C&S CRUSH 600G,20,12
BRC/BBYCRN/CAR,2425,1882
TURKEY FEAST,421,192
YAKITORI KEBABS,296,206
CHKN LEEK/BACON,1162,987
PEAS & BROCCOLI,2195,1719
BEEF DINNER X1,1055,946
DI SGR SNAP PEA,50,48
12 CHEESE & BAC,283,257
RED GRAPE LSE,139.5,19
C/NUT CROWN 6-8,163,93
O/B D/CURED SML,28,18
HS PRWN & SLMON,174,64
*HAM/CHSE/PICK,294,199
DI CHERRY SPONG,640,490
CHARLOTTE POTS,486,407
MELON MEDLEY,74,55
CHS & ON C/B,531,423
SIGNATURE FISH,268,153
CHKN LK & MSTD,738,643
GAR/GGR COUS,816,670
PEPPERCORN BEEF,547,466
SMPLY EGG CRESS,430,291
SES CH CR TOFU,49,46
CHKN ARRABBIATA,1624,1404
HOT & SPICY CHK,364,284
TROPICAL FRU SL,68,55
CHILLI CON CRNE,1150,1022
SCOTTISH 2 SEMI,73,63
GRN VEG MEDLEY,1206,1025
DBL CRM 300ML,534,436
CHCKN/MSHRM SLC,615,533
PARSNIP ROAST,86,67
DI MILL DESSERT,99,72
SWEET POT BG,1733,1518
CRRT/CAUL/SPRTS,427,364
DI CAKE SLICE,498,407
MAC CHEESE,867,741
DI MNT NEW POTS,1732,1332
BL193 TOM SAL,1,0
IRL 1.5KG MAR P,40,30
2 GF HOT CROSS,2,2
IRSH VRY LGE X6,6,6
SEEDED SDOUGH,2,0
BRIE BACON SW,25,17
DI G HM CRUMBLE,8,5
SANSEVIRA,6,6
ETG MINI TULIPS,2,2
BL175 SPAN MEAT,3,2
10 HAGGIS BITES,22,16
O/B D/CURED LGE,14,10
PK018 FBBZ CRWN,38,18
CLN XMAS HYDR B,1,0
150ML DBLE CRM,13,13
ASTERS,3,3
SPLT PUMPKN COB,9,0
DATE SPLT LF,1,0
DINE-IN CAJUN,1,1
IRISH SMOKED GA,1,1
DI APPL&BBERRY,18,17
POLLENLESS LILY,1,1
P&M ON&CHIVE,1,1
FETA TOMATO SQ,3,2
16 PIGS IN B/KT,701,532
LASAGNE RAVIOLI,9,5
PK012 FRGBZ TRK,28,16
FRENCH SELECT,1,1
GBF JAZZ APPLE,6,4
CHSE & CHUTNEY,1,1
BL177 CHK PARF,3,3
CHK FOREST PATE,4,4
XMAS BLOOM BQT,1,0
T CHICKEN BITES,3,0
SOURDOUGH LOAF,2,0
CLN RANUN ABUN,9,8
BABY P/APP RNGS,3,3
MCADMA & RAISIN,1,1
PK004 ORGBZ TRK,3,3
S/C JALA COMBO,1,0
BLOOD ORANGE,1,1
SOFT BUTTER LGE,1,1
RTP SALMON 2,1,1
WELSH WHL 4PTS,10,10
ORGANIC GRAPES,4,1
4 BRD PLAICE,1,1
MED FR & NUT,1,1
PAPRIKA POT SLD,1,1
BLCK FRST YGRT,1,0
NECT  GRA  RASP,4,4
AG LUXURY LONGI,3,3
ORNG CHOC COOKE,7,0
IRL U/S CRISPY,1,1
LG HYACINTH BSK,6,3
PISTACH IN SHEL,7,7
SOFT FIGS,10,10
ORANGE & CHAI T,10,8
10BTIGER PRAWNS,1,0
WELSH 10% LBEEF,14,14
IRL STRAWB,2,1
SIRLOIN OF BEEF,6,5
CNTRY SRDOUGH,24,1
APPL CRMBL CRFN,3,0
4 SLT CRML MNI,6,5
DELICE CHABLIS,1,1
TRKY TERRINE,5,4
BL187 CHS BAKE,4,4
HELP SHLTER CRI,1,0
gluten free pie,6,3
GBF ORCHID GIFT,2,2
FTO PATISSERIE,1,1
IRL ROUNDTOMS,3,3
BRAZIL NUTS,2,2
GR210 MACA BOX,2,1
SCOT STILL 2L,1,0
CIABATTA TOASTS,1,0
LG PUMPKIN,5,4
PK084 FSH SNACK,6,3
ORG FILLET STK,4,4
ORINTL LILY POT,1,1
HEATHER PATIO P,2,2
BL172 LDN JNT,1,0
FTO 20 POSH DOG,2,2
FTO MINI BURGER,1,1
IRL LITTLE GEM,8,7
IFG SALMON QUIC,1,1
PK045 4 BRD RST,1,0
PK027 FRCWN PSO,27,13
LAMB IN GRAVY,695,625
TWIN FLORETS,1283,1069
O/B CHIPOLATA,870,819
HONEY ROAST HAM,116,85
COD MEAL,1225,1084
2 JACKET POTS,1168,1011
GF COD FISHCAKE,973,896
HONEY PARSNIPS,785,714
CHICKEN CURRY,845,778
SM VEGTBLE BAKE,598,537
*CHEESE PLOUGH,464,325
EW POCH SALMON,61,31
N Y DELI VEGGIE,234,125
2 EVES PUDDINGS,1040,829
LUX VANILLA,54,43
SEAS GLD POTS,833,690
WF MOZZ & ROCKT,1109,1031
SGL SPINACH,1445,1340
*PRAWN DIPPER,97,58
RST PORK MEAL,1404,1285
SB LG CHS & PEP,721,640
*SMPLY HAM&MUST,466,357
CHKN BCN & MSHM,1463,1335
SWT & SR CHKN,1586,1434
DALICLASS,37,37
MOR STYL COUS2,36,32
CHERRY SPONGE,396,308
POT SLICES,1383,1235
SML SHEPHRD PIE,757,674
LIVER & BACON,887,829
B NUT SQ BRC BN,847,756
PLUM & BERGAMOT,101,95
SPAG CARBONARA,2272,1972
CHICKEN STRIPS,1224,1022
2 SCOTCH EGGS,990,916
2.5KG POT BAG,851,782
CHICKEN TIKKA,1708,1502
R/ROOSTER 1.5KG,62,61
PICC VINE 250G,91,78
RIB OF BEEF,1060,973
RED CABBAGE,391,336
STEAK & ALE PIE,751,714
LUX PEAR & BLAC,60,53
PRK SAU 1/2LB-,838,768
BUTTER CHICKEN,911,843
BAC/LATT 6-8,29,4
MED COTTAGE PIE,980,873
DI CARROT CRUSH,427,332
WHOLE CUCUMBER,404,291
PRP RUNNER BNS,1147,1048
10 PROSCIUTTO,296,266
LG PRP T/RUNNER,1010,873
DBLE CRM 150ML,118,101
MWW HAM & CHEES,118,74
GBF GRP MNGO AP,23,20
DI LASAGNE,274,264
BROWN ONION BAG,228,197
NECT PUNNET,45,44
GSTRO CHK KIEV,875,796
LGE OB PRK & CR,44,16
CHCKN CURRY X1,665,633
DI GARL MUSHRMS,191,177
CHUNKY CHIPS,1434,1310
CHCKEN & VEG SP,427,387
COLCANNON MASH,830,788
FISH & CHIPS ML,1473,1392
POTATOES 1KG,376,329
DI EXT FINE ASP,150,147
CAUL/BROC/CARR,1891,1743
ROUND TOMS H/T,154,145
GRATED MOZZ,17,14
PORK CIDER APPL,17,9
Tropical & Kale,17,11
BLACK PUDDING,489,483
APPLE CRUMBLE,67,67
SMKD PULLEDBEEF,601,566
GGR/COR VEG,559,503
CHCKN DINNER X1,1079,1010
SQUASH RAVIOLI,16,17
PK033 OAK CRWN,16,6
WILTSHIRE HAM,271,250
GBF CHKN LEEK/B,143,114
CLARET VN 230G,316,288
SS DRUMS/THIGHS,601,560
2 SYRUP PUDDNGS,15,9
HONEY HAM & CHS,359,271
SWEDE MASH,795,773
10 BEEF WELLYS,132,125
2PT ORG SCT SS,29,31
3 SQUASH BAKE,332,315
BABY CARROTS,1578,1251
SLICED WH MRMS,891,831
SWEET POTATO CH,626,570
INDIAN STARTER,1166,1037
DI CHUNKY CHIPS,694,615
FRESH PENNE,26,26
12 STAR BROWNIE,13,14
12 PRWN DM SUM,753,727
CHK & BROC PIE,923,874
HADDOCK MEAL,995,954
SWT POTATO MASH,272,279
