upc,name,total_volume_sold,total_value_sold,total_volume_unsold,total_value_unsold
97864,SPELT SOURDOUGH,19,51.3,0,0
98328,COD MEAL,717,2366.1,856,2824.8
98632,RSPB JELY TERN,12,29.5,20,48.5
98700,CONNIE CTRPLLR,1,7,2,14
98762,SGL PROF DESSER,35,52.9,48,72.2
98953,E/F B/CHERRY,5,7.5,8,12
99134,BELGIAN MILK CH,0,0,0,0
100731,MINCE BEEF C/B,236,401.2,272,462.4
100885,LG PRP T/RUNNER,429,1073.55,495,1238.1
101912,GOLD CLOTTED,7,12.6,14,25.2
102261,WMELON FGR 200G,1,1.5,1,1.5
102841,MW CHOC ALMOND,0,0,1,2.5
103350,SULTANA SCONES,3,4.8,2,3.2
104302,4 BLUEBERRY MFN,4,6.4,3,4.8
104364,BBQ BEEF JERKY,1,1.5,0,0
104456,HAGGIS 454g,31,97,106,331.4
104494,4 BREADED HAD,65,390,211,1266
104807,SMOKED BACON LA,23,34.5,16,24
104982,SCOT 150ML SGLE,13,9.1,22,15.4
105132,SCOT 150ML DBL,24,18,38,28.5
105149,2 LEG STEAKS,58,203,182,637
105460,RACK OF LAMB,48,479.67,131,1259.69
105903,PRAWN LYR SLD,65,209.4,78,250.2
105989,SCOT 600ML DBL,5,11.5,11,25.3
106009,CHICKEN SLD,1,4,4,16
106061,GBF PRWN LYR SL,1,3.4,0,0
106139,SCOT 300ML SGLE,28,28,33,33
106146,SCOT 300ML WHP,1,1.2,8,9.6
106313,SCOT 300ML DBLE,45,54,30,36
106498,COLIN CTRPILLAR,3,21,1,7
107884,EGG FRIED RICE,1162,2326.2,1102,2206.5
107952,COUNTRY VEG SP,112,224.1,229,461.1
108027,ORG NEW POTS,9,18,26,52
109024,PILAU RICE,874,1751.8,943,1890.5
109369,KING STRAWBERRY,33,148.5,34,147
109468,HADDOCK MORNAY,382,1337,459,1606.5
109666,MED ROAST JNT,4,62.44,38,585.56
112314,LEMN DRIZZLE CK,4,11.2,2,5.6
112321,PUFF PASTRY,57,114.1,128,257.1
113380,LOBSTER DRESSED,1,20,1,20
113687,VEG FOR SOUP,25,28.5,37,42.5
113854,EAT NOW AVO,2,3.6,1,1.8
115063,NEW POTS LSE,36,90,1,2.5
115636,C&S CRUSH 600G,34,109,64,208
115643,LIGHTER MATURE,0,0,5,2.5
115667,LGHTR MTR CHEDD,5,10,1,2
115711,S-SK FILTERED,8,7.2,33,29.7
115728,SINGLE BANANA,0,0,1,0.4
115742,WHOLE FILTERED,34,30.6,68,61.2
115759,0 FAT GREEK LIV,139,278.1,99,198
115773,0 FAT GREEK LIV,17,34,15,30
116152,MW SEED RLLS,0,0,4,8.8
116329,MINI BRST FILET,99,346.5,204,714
116626,MW SOURDOUGH LF,5,12,10,24
116831,4 S SEED ROLL,2,2.5,3,3.75
117418,*ORANGE JUICE,59,89.5,86,133.2
117449,*STILL LEMONADE,57,97.2,39,64.75
117982,RED CABBAGE,291,698.8,354,850.4
118231,BEEF CASSRLE X1,320,640,300,600
118422,IRISH WHITE,20,29.2,16,23.1
118460,SILVERSIDE BEEF,11,88,43,344
118569,RESERVE GRUYERE,0,0,2,8.45
118583,2 SYRUP PUDDNGS,2,4,4,8
118590,2 SPOTTED DICK,139,278,153,306
118606,2 CHOC PUDDINGS,17,34,27,54
118910,RST PRK LOIN,11,22,11,22
119740,6 MPL/RAISIN PN,2,2,2,2
120005,6 THIN STKS,5,50,4,40
120197,SUPER WGRAIN,20,40,37,74
121699,AA SIRLOIN STK,8,95.2,23,276.09
121934,H/SHELL PEAS,335,626,330,621.2
122191,UNSMK OB BR BCN,29,87.2,23,69.2
122221,LG WTRML MG FG,4,16,0,0
122276,UNSMK OB BR STR,34,102.2,32,96
122320,IRISH  UNSMOKED,2,30.64,0,0
122405,BAKED POTATO X2,759,2125.5,1106,3098.7
122467,ORANGE MLN,4,8,5,10
122580,MINI HOT X BUNS,2,3,1,1.5
122924,PF SOYA CHILLI,119,416.5,225,787.5
122979,PK VEGGIE TIKKA,122,427,268,938
123099,MINCE,11,22,5,10
123099,NO MEAT MINCE,22,44,70,140
123112,CHUNKS,3,6,2,4
123112,No chic n chunk,39,78,132,264
123389,APP GALA LOOSE,3,6,0,0
123464,CHICKEN GRAVY,7,14,6,12
124485,TOFU,20,50,43,107.5
124492,SES CH CR TOFU,173,606.3,299,1046.7
125642,CARROTS LSE,13,9.1,0,0
126304,CHS & ON C/B,724,1232.4,615,1045.5
126397,SGL TPL CHOC SU,63,94.5,61,92.2
126809,GAMMON H/G 600g,106,591.25,200,1137.5
126830,CHOC MINI ROLLS,0,0,2,2.6
127219,CHILI & COR SOY,43,150.5,67,234.5
127578,HAM HR XLN SL,189,189,153,153
127592,ORG CASS STEAK,24,156,146,949
127844,ORG BROCCOLI,131,196.5,232,348
127875,SALT BF W/T SL,18,54,11,33
128377,VEGGIE COTTAGE,20,70,60,210
128537,DI APPL&BBERRY,121,363,138,414
128896,BUTTRNUT SQUASH,11,16.5,14,21
